Year,diunral_temperature
1910,-0.39
1911,0.34
1912,0.43
1913,0.34
1914,0.14
1915,0.28
1916,-0.37
1917,-0.37
1918,0.45
1919,0.38
1920,-0.52
1921,-0.36
1922,0.55
1923,0.44
1924,0.4
1925,0.33
1926,0.45
1927,0.51
1928,0.57
1929,0.49
1930,-0.09
1931,0.03
1932,0.22
1933,-0.11
1934,-0.1
1935,0.35
1936,0.25
1937,0.4
1938,0.31
1939,-0.33
1940,0.8
1941,-0.22
1942,-0.04
1943,0.5
1944,0.75
1945,0.27
1946,0.95
1947,-0.25
1948,0.8
1949,0.18
1950,-0.31
1951,0.62
1952,0.33
1953,0.5
1954,0.11
1955,-0.79
1956,-0.39
1957,0.7
1958,-0.04
1959,-0.01
1960,-0.05
1961,0.51
1962,0.07
1963,-0.35
1964,0.05
1965,0.34
1966,-0.1
1967,0.26
1968,-0.57
1969,0.37
1970,0.52
1971,-0.04
1972,0.58
1973,-0.91
1974,-0.66
1975,-0.11
1976,0.48
1977,0.43
1978,-0.38
1979,0.14
1980,0.39
1981,-0.17
1982,0.51
1983,-0.35
1984,-0.12
1985,0.2
1986,-0.08
1987,-0.1
1988,-0.17
1989,-0.41
1990,-0.19
1991,0.25
1992,-0.51
1993,-0.45
1994,0.96
1995,-0.4
1996,0.09
1997,-0.11
1998,-0.62
1999,-0.23
2000,-0.56
2001,0.1
2002,1.26
2003,0.15
2004,0.22
2005,0.32
2006,0.31
2007,0.19
2008,0.26
2009,0.41
2010,-0.83
2011,-0.17
2012,0.82
2013,0.52
2014,0.53
2015,0.32
2016,-0.31
2017,0.7
2018,0.85
2019,1.15
2020,0.17
2021,0.15
2022,-0.37
2023,0.69
2024,0.06
2025,0.5
