Anomaly,Year
-0.49,1910
-0.67,1911
-0.2,1912
-0.86,1913
0.13,1914
0.08,1915
-0.57,1916
-1.24,1917
-0.55,1918
-0.15,1919
-0.53,1920
-0.23,1921
-0.47,1922
-0.38,1923
-0.68,1924
-0.77,1925
-0.16,1926
-0.51,1927
0.15,1928
-0.86,1929
-0.24,1930
-0.59,1931
-0.42,1932
-0.45,1933
-0.36,1934
-0.5,1935
-0.14,1936
-0.36,1937
0.17,1938
-0.62,1939
-0.23,1940
-0.55,1941
0.07,1942
-0.63,1943
-0.41,1944
-0.31,1945
-0.74,1946
-0.26,1947
-0.47,1948
-0.95,1949
-0.61,1950
-0.43,1951
-0.44,1952
-0.45,1953
-0.38,1954
-0.32,1955
-0.92,1956
0.04,1957
0.13,1958
0.24,1959
-0.66,1960
0.05,1961
-0.11,1962
-0.13,1963
-0.23,1964
0.24,1965
-0.5,1966
-0.22,1967
-0.39,1968
-0.03,1969
-0.1,1970
-0.22,1971
0.15,1972
0.53,1973
-0.7,1974
-0.22,1975
-0.75,1976
-0.03,1977
-0.31,1978
0.38,1979
0.74,1980
0.27,1981
-0.04,1982
0.33,1983
-0.38,1984
0.21,1985
0.22,1986
0.18,1987
0.74,1988
-0.02,1989
0.47,1990
0.6,1991
0.13,1992
0.31,1993
0.18,1994
0.16,1995
0.6,1996
0.3,1997
0.97,1998
0.32,1999
-0.04,2000
0.05,2001
0.71,2002
0.7,2003
0.54,2004
1.17,2005
0.5,2006
0.76,2007
0.45,2008
0.93,2009
0.34,2010
0,2011
0.25,2012
1.35,2013
1.05,2014
0.95,2015
0.99,2016
1.05,2017
1.11,2018
1.51,2019
1.13,2020
0.57,2021
0.51,2022
0.99,2023
1.45,2024
1.23,2025
